nthreads,energy,time,power,speedup
1,22123.8,195.091,113.402,1
2,22123.8,195.091,113.402,1
3,22123.8,195.091,113.402,1
4,6820.6,55.2989,123.341,3.52794
5,5792.95,46.3468,124.991,4.20937
6,5117.35,40.3954,126.682,4.82954
7,4729.35,36.5023,129.563,5.34462
8,4438.15,33.4529,132.669,5.83181
9,4128.95,30.4816,135.457,6.40029
10,3843.55,28.0007,137.266,6.96736
11,3658.65,26.7442,136.802,7.2947
12,3478.75,25.2566,137.736,7.72436
13,3344.8,23.697,141.149,8.23273
14,3190.5,23.1523,137.805,8.42642
15,3174.85,22.6873,139.94,8.59913
16,3013,21.955,137.235,8.88595
17,3158.55,22.2888,141.71,8.75287
18,3075.35,21.3928,143.756,9.11947
19,3150.6,20.7055,152.162,9.42218
20,2968.6,20.1512,147.316,9.68136
21,3006.5,20.1549,149.17,9.67958
22,2732.3,19.0926,143.108,10.2181
23,2936.05,18.7072,156.948,10.4287
24,2739.25,17.9677,152.454,10.8579
25,2783.35,17.747,156.835,10.9929
26,2411.25,15.659,153.985,12.4587
27,2348.2,15.109,155.417,12.9122
28,2248.85,14.0391,160.185,13.8963
29,1999.3,12.75,156.808,15.3013
30,1934.1,12.037,160.68,16.2076
31,1707.75,10.8572,157.292,17.9688
32,1527.15,9.79655,155.887,19.9143
33,1488.75,9.29969,160.086,20.9782
34,1512,9.63703,156.895,20.2439
35,1349.8,8.54605,157.944,22.8282
36,1454.1,8.96535,162.191,21.7606
37,1314.15,8.16199,161.009,23.9024
38,1241.15,7.84985,158.111,24.8528
39,1134.25,7.00612,161.894,27.8458
40,1229.35,7.64526,160.799,25.5179
41,1312.35,8.25131,159.047,23.6436
42,1169.2,7.33892,159.315,26.5831
43,1188.4,7.28511,163.127,26.7794
44,1076.5,6.55075,164.332,29.7815
45,1100.7,6.74409,163.21,28.9277
46,1037.35,6.34103,163.593,30.7665
47,1215.85,7.23618,168.024,26.9605
48,853.1,5.11242,166.868,38.1602
49,1002.7,5.94155,168.761,32.835
50,914.2,5.38994,169.612,36.1954
51,1004.8,5.98691,167.833,32.5863
52,947.4,5.61126,168.839,34.7678
53,1060.5,6.28217,168.811,31.0547
54,964.9,5.66477,170.333,34.4394
55,1062.95,6.19837,171.489,31.4746
56,1019.5,5.84937,174.292,33.3525
57,1077.05,6.18641,174.099,31.5354
58,1577.35,9.19514,171.542,21.2168
59,1766,10.1986,173.161,19.1292
60,1756.85,10.1315,173.405,19.2559
61,1704.1,9.76633,174.487,19.9759
62,1698.15,9.58538,177.16,20.353
63,1561.85,8.99222,173.689,21.6955
64,1658.6,9.49025,174.769,20.557
65,1630.4,9.14213,178.339,21.3398
66,1503.15,8.34927,180.034,23.3662
67,1551.6,8.66601,179.044,22.5122
68,1576.1,8.78922,179.322,22.1966
69,1494.6,8.29899,180.094,23.5078
70,1446.4,8.15608,177.34,23.9197
71,1397.5,7.62595,183.256,25.5825
72,1473.85,8.20601,179.606,23.7742
73,1396.8,7.79176,179.266,25.0381
74,1536,8.5854,178.908,22.7236
75,1318.45,7.33183,179.826,26.6088
76,1293.35,7.1559,180.739,27.263
77,1225.85,6.69272,183.162,29.1497
78,1216,6.64392,183.024,29.3638
79,1341.05,7.2403,185.22,26.9452
80,1297.6,7.06108,183.768,27.6291
81,1323.35,7.1422,185.286,27.3153
82,1198.85,6.50487,184.3,29.9915
83,1146.3,6.16045,186.074,31.6683
84,1127.45,6.05454,186.216,32.2223
85,1206.65,6.58775,183.166,29.6142
86,1177.8,6.50772,180.985,29.9784
87,1209.15,6.53782,184.947,29.8404
88,1149.6,6.1827,185.938,31.5543
89,1159.95,6.19213,187.326,31.5063
90,1110.95,6.05053,183.612,32.2436
91,1114.2,6.11147,182.313,31.9221
92,963.1,5.31114,181.336,36.7324
93,903.25,4.93114,183.173,39.5631
94,959.25,5.17744,185.275,37.681
95,1060.5,5.85273,181.197,33.3333
96,1030.15,5.60553,183.774,34.8033
97,1094.25,5.95118,183.871,32.7819
98,888.4,4.77566,186.027,40.8511
99,890.05,4.84956,183.532,40.2286
100,986.6,5.33307,184.997,36.5814
101,1040.05,5.74188,181.134,33.9769
102,1074.1,5.76161,186.424,33.8605
103,1040.85,5.67706,183.343,34.3648
104,1042.7,5.70015,182.925,34.2256
105,912.75,5.04372,180.968,38.68
106,879.5,4.80343,183.098,40.6149
107,990.25,5.38806,183.786,36.208
108,830.95,4.54156,182.966,42.9568
109,934.1,5.07231,184.157,38.462
110,956.8,5.21212,183.572,37.4303
111,872.75,4.6818,186.413,41.6701
112,816.2,4.5015,181.317,43.3391
113,793.25,4.32829,183.271,45.0735
114,910.4,4.99655,182.206,39.0451
115,1214.6,6.63696,183.005,29.3946
116,1159.1,6.34134,182.785,30.7649
117,1294.05,7.10225,182.203,27.4689
118,1111.35,6.13694,181.092,31.7896
119,1165.3,6.32072,184.362,30.8653
120,1115.8,6.07926,183.542,32.0912
121,1172.3,6.40219,183.109,30.4725
122,1312.65,7.08954,185.153,27.5181
123,1261.8,6.74716,187.012,28.9145
124,1081.55,5.8391,185.225,33.4111
125,1227.5,6.59502,186.125,29.5816
126,1241.55,6.63442,187.138,29.4059
127,1080.4,5.91118,182.772,33.0037
128,1140.8,6.16254,185.118,31.6576
129,1163.3,6.22651,186.83,31.3323
130,1043.35,5.63442,185.174,34.6249
131,1100.6,5.90971,186.236,33.0119
132,1120.3,6.00311,186.62,32.4983
133,1106,6.00598,184.15,32.4828
134,1103.55,5.9419,185.723,32.8331
135,1075.6,5.73492,187.553,34.0181
136,1118.95,6.02496,185.719,32.3805
137,1108.85,5.91244,187.545,32.9967
138,1017.1,5.39258,188.611,36.1777
139,971.7,5.15286,188.575,37.8607
140,984.55,5.18754,189.791,37.6076
141,1091.3,5.7868,188.584,33.7131
142,1142.7,6.15255,185.728,31.709
143,932.95,5.0606,184.356,38.551
144,976.65,5.18198,188.47,37.648
145,1048.9,5.60849,187.02,34.7849
146,1037.4,5.54874,186.961,35.1595
147,1068.85,5.69553,187.665,34.2534
148,1051.3,5.64247,186.319,34.5755
149,976.6,5.22743,186.822,37.3206
150,1004.2,5.38846,186.361,36.2053
151,987,5.25121,187.957,37.1516
152,953.55,5.09558,187.133,38.2863
153,859.9,4.66691,184.255,41.803
154,984.55,5.22173,188.549,37.3614
155,992.9,5.2883,187.754,36.8911
156,962.85,5.1325,187.599,38.0109
157,961.8,5.08094,189.296,38.3966
158,1004.95,5.30396,189.472,36.7821
159,959.15,5.08364,188.674,38.3762
160,872.85,4.65657,187.445,41.8959
161,987.9,5.17741,190.81,37.6812
162,932.95,4.93559,189.025,39.5274
163,907.05,4.81968,188.197,40.478
164,888.15,4.69861,189.024,41.521
165,996.9,5.22303,190.866,37.3521
166,926.1,4.89812,189.073,39.8298
167,951.45,5.05539,188.205,38.5907
168,962.15,5.13917,187.219,37.9616
169,925.6,4.84512,191.038,40.2655
170,1028.55,5.44265,188.98,35.8449
171,1009.9,5.28893,190.946,36.8867
172,995.05,5.33422,186.541,36.5735
173,1034.1,5.48786,188.434,35.5496
174,1323.6,6.99463,189.231,27.8915
175,1062.45,5.60112,189.685,34.8307
176,1134.5,6.03679,187.931,32.317
177,962.3,5.10479,188.509,38.2172
178,1053.85,5.5393,190.25,35.2194
179,1118.4,5.95473,187.817,32.7624
180,1147.15,6.05639,189.412,32.2124
181,1095.7,5.7415,190.839,33.9791
182,1120.5,5.90972,189.603,33.0119
183,1216.5,6.32833,192.231,30.8282
184,1158.95,6.09552,190.131,32.0056
185,1065.1,5.57853,190.928,34.9718
186,1056.05,5.53782,190.698,35.2288
187,953.8,4.93891,193.12,39.5008
188,1130.6,5.84147,193.547,33.3976
189,1158.95,6.05075,191.538,32.2424
190,1126,5.89292,191.077,33.106
191,1107.95,5.78271,191.597,33.737
192,1124.2,5.90438,190.401,33.0417
193,1074.35,5.57691,192.643,34.9819
194,1132.8,5.88395,192.524,33.1565
195,1044.45,5.53479,188.706,35.2481
196,1085.5,5.69642,190.558,34.248
197,1034.55,5.4554,189.638,35.7611
198,1096.9,5.69222,192.702,34.2733
199,1182.95,6.07294,194.79,32.1246
200,1069,5.537,193.065,35.2341
201,1068,5.55202,192.362,35.1387
202,1052.2,5.38884,195.255,36.2028
203,1051.9,5.42839,193.778,35.939
204,1131.8,5.93035,190.849,32.897
205,1037.9,5.39382,192.424,36.1694
206,1055.85,5.48019,192.667,35.5993
207,1075.4,5.63702,190.775,34.6089
208,1016,5.24133,193.844,37.2217
209,1057.3,5.48498,192.763,35.5682
210,1079.65,5.59118,193.099,34.8926
211,1061.55,5.53619,191.747,35.2392
212,1058.35,5.49765,192.51,35.4863
213,1076.4,5.60141,192.166,34.8289
214,1011,5.30195,190.685,36.7961
215,984.25,5.1059,192.767,38.2089
216,971.7,5.04867,192.467,38.6421
217,1020.4,5.28697,193.003,36.9003
218,967.05,4.98751,193.894,39.1159
219,970.45,4.99602,194.245,39.0493
220,1021.15,5.29823,192.734,36.8219
221,1065.05,5.536,192.386,35.2404
222,997.8,5.2267,190.904,37.3258
223,1102.55,5.69318,193.662,34.2675
224,1015.75,5.22952,194.234,37.3057
225,1055.4,5.54663,190.278,35.1729
226,1069.6,5.58134,191.639,34.9542
227,1029.9,5.38232,191.349,36.2466
228,950,4.89488,194.08,39.8561
