nthreads,energy,time,power,speedup
1,1191.5,11.0969,107.372,1
2,1191.5,11.0969,107.372,1
3,1191.5,11.0969,107.372,1
4,854.35,7.54795,113.19,1.47019
5,854.4,7.40983,115.306,1.49759
6,831.35,7.15891,116.128,1.55008
7,834.3,7.07915,117.853,1.56755
8,668.95,5.68762,117.615,1.95106
9,632.65,5.34605,118.34,2.07572
10,656.95,5.52799,118.841,2.0074
11,672.25,5.63224,119.357,1.97025
12,590.55,4.92988,119.79,2.25095
13,621.1,5.15262,120.541,2.15364
14,631.4,5.25996,120.039,2.10969
15,609.95,4.99247,122.174,2.22273
16,600.1,4.96046,120.977,2.23707
17,568.75,4.60984,123.377,2.40722
18,634,5.13484,123.47,2.1611
19,566.75,4.53554,124.958,2.44665
20,546.15,4.41355,123.744,2.51428
21,580.7,4.63715,125.228,2.39304
22,565.6,4.51451,125.285,2.45805
23,540.1,4.26569,126.615,2.60143
24,583.35,4.46351,130.693,2.48614
25,565.1,4.34068,130.187,2.55649
26,611.1,4.65965,131.147,2.38149
27,606.95,4.44119,136.664,2.49863
28,607.8,4.40991,137.826,2.51636
29,605.4,4.37762,138.294,2.53492
30,637.9,4.63227,137.708,2.39556
31,627.15,4.51608,138.87,2.4572
32,590.55,4.26549,138.448,2.60155
33,610.1,4.36911,139.639,2.53985
34,582.35,4.10749,141.778,2.70163
35,612.1,4.28335,142.902,2.59071
36,652.35,4.53418,143.874,2.44739
37,625.65,4.33508,144.323,2.55979
38,637.75,4.40626,144.737,2.51844
39,601.8,4.0853,147.309,2.7163
40,639.8,4.33407,147.621,2.56039
41,592.7,4.00926,147.833,2.76782
42,632.55,4.24628,148.966,2.61332
43,660.9,4.37951,150.907,2.53382
44,657.65,4.32694,151.99,2.56461
45,663.05,4.35595,152.217,2.54753
46,615.9,4.01133,153.54,2.76639
47,697,4.47946,155.599,2.47729
48,670.8,4.31331,155.519,2.57271
49,666.9,4.23093,157.625,2.6228
50,670.45,4.26717,157.118,2.60053
51,669,4.19707,159.397,2.64396
52,710.55,4.46492,159.141,2.48535
53,654.65,4.06252,161.144,2.73153
54,703.9,4.33207,162.486,2.56157
55,714.9,4.37948,163.239,2.53384
56,671,4.10996,163.262,2.7
57,662.1,4.01063,165.086,2.76687
58,736.6,4.42861,166.328,2.50573
59,715.75,4.34829,164.605,2.55201
60,691.7,4.18336,165.346,2.65263
61,678.35,4.08679,165.986,2.71531
62,717.45,4.33212,165.612,2.56154
63,728.45,4.39095,165.898,2.52722
64,734.8,4.43065,165.845,2.50458
65,752.1,4.55138,165.247,2.43814
66,753.05,4.53275,166.135,2.44816
67,747.95,4.49221,166.499,2.47025
68,805.4,4.8297,166.76,2.29764
69,722.8,4.32888,166.972,2.56346
70,766.3,4.57413,167.529,2.42601
71,742,4.46047,166.35,2.48783
72,700.5,4.18678,167.312,2.65046
73,742.35,4.45758,166.537,2.48944
74,791.85,4.73581,167.205,2.34319
75,689.85,4.16346,165.692,2.66531
76,745.8,4.45459,167.423,2.49112
77,736.85,4.38021,168.223,2.53342
