nthreads,energy,time,power,speedup
1,20558.4,186.501,110.232,1
2,20558.4,186.501,110.232,1
3,20558.4,186.501,110.232,1
4,6426.35,54.8055,117.257,3.40296
5,6272.1,52.8747,118.622,3.52723
6,4380.45,36.342,120.534,5.13183
7,4520.3,37.3597,120.994,4.99204
8,3474.25,27.7425,125.232,6.72257
9,3547.85,28.6308,123.917,6.514
10,2945.8,23.0387,127.863,8.09512
11,2929.1,23.1134,126.727,8.06896
12,2544.5,20.0124,127.146,9.31927
13,2714.1,21.311,127.357,8.7514
14,2571.9,19.7602,130.156,9.43821
15,2340.65,17.7129,132.144,10.5291
16,2040.05,15.5567,131.136,11.9885
17,1996,15.2648,130.758,12.2177
18,2038.8,14.6396,139.266,12.7395
19,1929.25,14.2095,135.772,13.1251
20,1808.6,13.3105,135.878,14.0116
21,1830.55,13.3324,137.301,13.9886
22,1881.15,13.1262,143.313,14.2083
23,1720.5,12.6286,136.238,14.7681
24,1607.45,11.3859,141.179,16.38
25,1613.55,11.5984,139.118,16.0799
26,1635.05,11.3161,144.489,16.481
27,1593.55,10.846,146.925,17.1954
28,1560.35,10.055,155.182,18.5481
29,1550.25,10.2693,150.96,18.161
30,1515.85,9.99441,151.67,18.6605
31,1504.8,9.79105,153.691,19.0481
32,1418.85,9.16476,154.816,20.3498
33,1470.6,9.38875,156.634,19.8643
34,1368.55,8.71166,157.094,21.4082
35,1433.85,8.80982,162.756,21.1697
36,1369.2,8.54568,160.221,21.824
37,1374.95,8.36097,164.449,22.3061
38,1334.2,7.95391,167.741,23.4477
39,1333.3,7.99214,166.826,23.3356
40,1304.3,7.69813,169.431,24.2268
41,1278.9,7.71885,165.685,24.1618
42,1320.7,7.70165,171.483,24.2157
43,1331.1,7.78161,171.057,23.9669
44,1325.85,7.5316,176.038,24.7625
45,1310.65,7.44833,175.966,25.0393
46,1242.6,7.23465,171.757,25.7789
47,1236.6,6.96434,177.562,26.7794
48,1278.45,7.1092,179.83,26.2338
49,1260.3,6.9489,181.367,26.8389
50,1206.35,6.75902,178.48,27.5929
51,1229.85,6.81129,180.561,27.3812
52,1282.35,6.89378,186.016,27.0535
53,1220.1,6.7798,179.961,27.5083
54,1204.75,6.63592,181.55,28.1048
55,1222.45,6.65973,183.558,28.0043
56,1250.15,6.58353,189.891,28.3284
57,1224.4,6.63432,184.555,28.1115
58,1238.75,6.46767,191.53,28.8359
59,1202.95,6.40229,187.894,29.1304
60,1182.5,6.41347,184.378,29.0796
61,1232.25,6.49733,189.655,28.7043
62,1072.85,5.75475,186.429,32.4082
63,1087.6,5.80683,187.297,32.1175
64,1058.55,5.65501,187.188,32.9798
65,1088.2,5.69499,191.08,32.7483
66,1108.05,5.7653,192.193,32.3489
67,1085.3,5.76861,188.139,32.3303
68,1103.75,5.73586,192.43,32.5149
69,1134.6,5.88473,192.804,31.6924
70,1137.05,5.88319,193.271,31.7007
71,1069.4,5.73267,186.545,32.533
72,1060.6,5.60504,189.223,33.2738
73,1103.9,5.81254,189.917,32.086
74,1086.35,5.63577,192.76,33.0924
75,1055.95,5.63282,187.464,33.1097
76,1072.6,5.63832,190.234,33.0774
77,1104.4,5.80411,190.279,32.1326
78,1124.1,5.80143,193.763,32.1474
79,1132.8,5.84207,193.904,31.9238
80,1090.4,5.81273,187.588,32.0849
81,1098.35,5.78937,189.718,32.2144
82,1108.6,5.75537,192.62,32.4047
83,1084.65,5.78403,187.525,32.2441
84,1257.1,6.45476,194.755,28.8936
85,1294.55,6.62651,195.359,28.1447
86,1146.2,5.98253,191.591,31.1743
87,1203.25,6.08792,197.646,30.6346
88,1257.8,6.40106,196.499,29.136
89,1267.8,6.50599,194.867,28.666
90,1252.6,6.48536,193.143,28.7572
91,1281.1,6.43781,198.996,28.9696
92,1202.8,6.03324,199.362,30.9122
93,1187.95,6.0063,197.784,31.0509
94,1182,5.90195,200.273,31.5999
95,1196.85,5.93654,201.607,31.4158
96,1166.75,5.93427,196.612,31.4278
97,1084.3,5.52905,196.11,33.7311
98,1059.85,5.4474,194.561,34.2367
99,1127.2,5.67057,198.781,32.8893
100,1097.9,5.59961,196.067,33.3061
101,1123.1,5.67858,197.778,32.8429
102,1110.85,5.50297,201.864,33.891
103,1076.45,5.5537,193.826,33.5814
104,1086.2,5.45024,199.294,34.2189
105,1166.95,5.79112,201.507,32.2047
106,1038.45,5.22649,198.69,35.6838
107,1045.15,5.35173,195.292,34.8487
108,1069.5,5.47482,195.349,34.0652
109,1086.9,5.34436,203.373,34.8968
110,1041.05,5.34535,194.758,34.8903
111,1084.5,5.32732,203.573,35.0084
112,1012.9,4.97293,203.683,37.5032
113,1025.2,5.00758,204.73,37.2437
114,1045.05,5.10645,204.653,36.5226
115,1074.45,5.24162,204.984,35.5808
116,1088.85,5.58652,194.907,33.3841
117,1095.25,5.49517,199.311,33.9391
118,1141.85,5.63033,202.803,33.1243
119,1092.75,5.46043,200.122,34.155
120,1062.35,5.25953,201.986,35.4596
121,1021.9,5.0351,202.955,37.0402
122,1172.2,5.843,200.616,31.9187
123,1132.4,5.66021,200.063,32.9495
124,1221,6.40554,190.616,29.1156
125,1269.85,6.38196,198.975,29.2232
126,1249.55,6.55629,190.588,28.4461
127,1285.8,6.68873,192.234,27.8829
128,1255.75,6.53131,192.266,28.5549
129,1225.8,6.34655,193.144,29.3862
130,1378.4,6.83974,201.528,27.2673
131,1321.2,6.55438,201.575,28.4544
132,1259.1,6.13755,205.147,30.3869
133,1299.55,6.33534,205.127,29.4382
134,1543.05,7.644,201.864,24.3984
135,1488.5,7.35972,202.25,25.3408
136,1406.45,7.14565,196.826,26.0999
137,1433.25,7.03395,203.762,26.5144
138,1415.15,6.98991,202.456,26.6815
139,1460.05,7.12829,204.825,26.1635
140,1515.75,7.78018,194.822,23.9713
141,1496.8,7.37553,202.941,25.2865
142,1741.65,8.7942,198.045,21.2073
143,1659.6,8.64562,191.958,21.5717
144,1611.15,8.04197,200.343,23.191
145,1529.55,7.95022,192.391,23.4586
146,1533.8,7.68425,199.603,24.2706
147,1425.15,7.23796,196.899,25.7671
148,1460.85,7.24247,201.706,25.751
149,1537,7.79526,197.171,23.9249
150,1534.15,7.64004,200.804,24.411
151,1569.55,7.89376,198.834,23.6264
152,1451.35,7.43798,195.127,25.0741
153,1428.6,7.27715,196.313,25.6283
154,1395.7,7.15021,195.197,26.0833
155,1458.5,7.18616,202.96,25.9528
156,1292.2,6.24688,206.855,29.8551
157,1323.95,6.38009,207.513,29.2317
158,1235.4,5.89822,209.453,31.6199
159,1248.3,6.00879,207.746,31.038
160,1176.1,5.68611,206.837,32.7994
161,1152.95,5.68155,202.929,32.8257
162,1166,5.85377,199.188,31.86
163,1197.05,5.94501,201.354,31.371
164,1192.55,5.97648,199.541,31.2058
165,1197.35,5.89989,202.944,31.6109
166,1166.2,5.6084,207.938,33.2539
167,1139.25,5.4981,207.208,33.921
168,1156.35,5.57145,207.549,33.4744
169,1114.6,5.54895,200.867,33.6101
170,1078.25,5.34799,201.618,34.8731
171,1165.75,5.55094,210.009,33.5981
172,1132.95,5.55996,203.769,33.5436
173,1130.95,5.62703,200.985,33.1438
174,1159.45,5.5976,207.133,33.318
175,1199,5.70387,210.208,32.6973
176,1186.9,5.65068,210.046,33.0051
177,1114.2,5.49059,202.929,33.9674
178,1177.05,5.732,205.347,32.5368
179,1206.95,5.76118,209.497,32.372
180,1255.45,6.0061,209.029,31.0519
181,1180.7,5.89029,200.449,31.6624
182,1254.05,6.17638,203.04,30.1958
183,1275.1,6.20872,205.372,30.0386
184,1343.65,6.47778,207.424,28.7909
185,1277.55,6.4285,198.732,29.0116
186,1315.7,6.28444,209.358,29.6766
187,1206.6,5.99718,201.195,31.0981
188,1341.55,6.42891,208.675,29.0097
189,1322.65,6.33606,208.75,29.4349
190,1408,7.05512,199.571,26.4348
191,1492.4,7.38687,202.034,25.2476
192,1598.15,7.83035,204.097,23.8177
193,1545.7,7.83936,197.172,23.7903
194,1620.6,7.98379,202.986,23.36
195,1541.55,7.57179,203.591,24.631
196,1592.8,7.95892,200.128,23.433
197,1545.3,7.90853,195.397,23.5823
198,1577.35,8.03259,196.369,23.218
199,1594.25,8.09646,196.907,23.0349
200,1631.65,8.08288,201.865,23.0736
201,1535.95,7.87284,195.095,23.6892
202,1427.9,6.94429,205.622,26.8567
203,1374.8,6.62053,207.657,28.1701
204,1377.45,6.59134,208.979,28.2949
205,1256.3,6.23031,201.643,29.9345
206,1390.55,6.73629,206.427,27.686
207,1290.55,6.47005,199.465,28.8253
208,1234.45,6.14722,200.814,30.3391
209,1313.25,6.38086,205.811,29.2282
210,1331.4,6.37926,208.708,29.2355
211,1271.95,6.3464,200.421,29.3869
212,1285.5,6.41917,200.26,29.0538
213,1287.5,6.25203,205.933,29.8305
214,1268.6,6.13108,206.913,30.4189
215,1190.15,5.89552,201.874,31.6344
216,1195.75,5.86407,203.911,31.804
217,1246.35,5.89924,211.273,31.6144
218,1110.65,5.40975,205.305,34.475
219,1190.8,5.62312,211.769,33.1668
220,1046.35,5.05518,206.986,36.893
221,1102.65,5.27654,208.972,35.3453
222,1090.8,5.14378,212.062,36.2576
223,1015.9,4.93921,205.681,37.7593
224,982.95,4.75862,206.562,39.1922
225,1050.5,5.09171,206.316,36.6284
226,941,4.59496,204.79,40.5882
227,975.85,4.75148,205.378,39.2511
228,1020.55,4.78894,213.106,38.9441
